843 19  21  30  33  34  42
842 14  26  32  36  39  42
841 5   11  14  30  33  38
681	21	24	27	29	43	44
680	4	10	19	29	32	42
679	3	5	7	14	26	34
678	4	5	6	12	25	37
677	12	15	24	36	41	44
676	1	8	17	34	39	45
675	1	8	11	15	18	45
674	9	10	14	25	27	31
673	7	10	17	29	33	44
672	8	21	28	31	36	45
671	7	9	10	13	31	35
670	11	18	26	27	40	41
669	7	8	20	29	33	38
668	12	14	15	24	27	32
667	15	17	25	37	42	43
666	2	4	6	11	17	28
665	5	6	11	17	38	44
664	10	20	33	36	41	44
663	3	5	8	19	38	42
662	5	6	9	11	15	37
661	2	3	12	20	27	38
660	4	9	23	33	39	44
659	7	18	19	27	29	42
658	8	19	25	28	32	36
657	10	14	19	39	40	43
656	3	7	14	16	31	40
655	7	37	38	39	40	44
654	16	21	26	31	36	43
653	5	6	26	27	38	39
652	3	13	15	40	41	44
651	11	12	16	26	29	44
650	3	4	7	11	31	41
649	3	21	22	33	41	42
648	13	19	28	37	38	43
647	5	16	21	23	24	30
646	2	9	24	41	43	45
645	1	4	16	26	40	41
644	5	13	17	23	28	36
643	15	24	31	32	33	40
642	8	17	18	24	39	45
641	11	18	21	36	37	43
640	14	15	18	21	26	35
